place_id,restaurant_name,avg_rating,total_ratings,avg_sentiment_compound,base_bayesian,sentiment_bonus,tag_bonus,final_score
ChIJMe9Uf5C9cEgRNteBJnDmME8,"TOCA Social, Birmingham",4.9,1032.0,0.97308,4.885776365998591,0.194616,0.15,5.230392365998592
ChIJLUVqBSm9cEgRAgLd6lUnmew,Coffee Joint,4.9,160.0,0.96178,4.81873307492168,0.192356,0.15,5.161089074921681
ChIJ2br49Hy9cEgRUz4kHT3CrFg,BRGR BOX,4.9,218.0,0.8610200000000001,4.838130118767534,0.17220400000000002,0.15,5.160334118767534
ChIJC-lzZm69cEgR5m5syFmhotc,Dishoom Birmingham,4.8,9936.0,0.97492,4.798741654337968,0.19498400000000002,0.15,5.143725654337969
ChIJ0WhqV4m8cEgR2SfFsYLY6Ws,Grand Central Kitchen,4.8,2070.0,0.9718,4.794017001842725,0.19436,0.15,5.138377001842725
ChIJv-uPaUq8cEgRI2jn0I1579k,Winterbourne House & Garden,4.8,2074.0,0.96924,4.794028403459033,0.19384800000000002,0.15,5.137876403459034
ChIJO7AKG-28cEgR-zAWLhsaZvg,Deli Heaven,4.9,135.0,0.89944,4.806035117878193,0.17988800000000002,0.15,5.1359231178781934
ChIJkVXgtcW9cEgRmUEJW3_Ke68,Tonight Josephine - Birmingham,4.8,2828.0,0.91142,4.795606596165619,0.182284,0.15,5.12789059616562
ChIJYfS7tSm9cEgRWDv2bgBIiq4,The Layers,4.9,106.0,0.95684,4.785233731759625,0.191368,0.15,5.126601731759625
ChIJUboE0ae9cEgREVOPFCpIcbs,Sandbox VR,4.8,881.0,0.95212,4.7861651422301446,0.190424,0.15,5.126589142230145
ChIJld4MKgC9cEgRcCjZcPdjxGs,Blank Street Coffee,4.8,755.0,0.95782,4.783930280590398,0.191564,0.15,5.125494280590398
ChIJS5vcWoi8cEgRODX9u2KI5pg,Sushi Passion,4.9,3786.0,0.62392,4.896055003636975,0.124784,0.1,5.120839003636974
ChIJsSYndry9cEgRMdmLjY7jvxE,Wok Chi,4.8,524.0,0.95356,4.7771687046639535,0.190712,0.15,5.117880704663953
ChIJ16AZLwC9cEgR1ArEuxekYwU,Costa Coffee,5.0,76.0,0.70018,4.8263922659456515,0.14003600000000002,0.15,5.116428265945652
ChIJVwTqln69cEgRGkFIFqX3MY8,BURGER & SAUCE - Selly Oak,4.8,508.0,0.91574,4.776483337449363,0.183148,0.15,5.109631337449364
ChIJIVoww-O9cEgRkhz289i3ZT8,Elio Café,4.8,313.0,0.97822,4.762916032131688,0.195644,0.15,5.108560032131688
ChIJf530ary9cEgRyx8XFYkCmlM,Harborne Kitchen,4.8,519.0,0.98302,4.776958858199468,0.196604,0.1,5.073562858199468
ChIJT-aeq0-9cEgRNz69I0YdS8Y,Noir 55 Coffee,4.8,223.0,0.8628600000000001,4.749458140566575,0.17257200000000003,0.15,5.072030140566575
ChIJcTCvliC9cEgRuqanxiLRPuA,Ouro Gold Teeth Birmingham,5.0,121.0,0.9297,4.879901499044594,0.18594,0.0,5.065841499044595
ChIJRfpD4U29cEgR2sUlrA_Tk8E,Bhancha Nepalese & Indian Cuisine,4.9,158.0,0.97848,4.817844911806071,0.195696,0.05,5.06354091180607
ChIJ_cQkKfO8cEgRJ-3RwOO7tow,Restaurant at Birmingham College of Food,4.8,124.0,0.97054,4.715876636647724,0.194108,0.15,5.059984636647724
ChIJJ-qYI8S9cEgRt6a9RzNaClo,Viela JQ: Café / Dance studio,4.9,143.0,0.96818,4.810509636074469,0.19363600000000003,0.05,5.054145636074469
ChIJIWCQsYu8cEgRNI3cYp9-9n8,Turtle Bay Birmingham,4.7,16701.0,0.96152,4.699400072872206,0.19230400000000003,0.15,5.041704072872206
ChIJb9_mLQC9cEgROcVYW2MHFKM,Divine Desserts Birmingham,4.8,286.0,0.6403000000000001,4.7596965236672375,0.12806000000000003,0.15,5.0377565236672375
ChIJ36gxXQq9cEgRfGwzpj5UlIA,Arabica Cafe - Bakhtawar Trust - Free cafe,5.0,50.0,0.8467,4.766208251473477,0.16934000000000002,0.1,5.035548251473477
ChIJj-ClCKS9cEgRKQdzfX-YKYk,Banana Tree Birmingham Bullring,4.7,2069.0,0.94662,4.695208031929566,0.18932400000000002,0.15,5.034532031929566
ChIJ-c4vYuu8cEgRDeqE6ZjOH4o,Birmingham Blue Nile Restaurant,4.7,668.0,0.96126,4.68552037353609,0.192252,0.15,5.027772373536091
ChIJG-cqE4e8cEgRJxQivpWg2A4,Starbucks Coffee,4.7,566.0,0.96072,4.683021351709832,0.192144,0.15,5.025165351709832
ChIJ14uBiJWjcEgRLJ9Mg2d_NpA,The Goat King,4.9,100.0,0.69338,4.779724950884087,0.138676,0.1,5.018400950884087
ChIJz8jboIm8cEgRfyB-H8DV8t0,The Wilderness,4.8,459.0,0.96694,4.774102518306841,0.193388,0.05,5.017490518306841
ChIJVxTBYGu9cEgRM6qGea4FhHE,Chapter Edgbaston,4.7,278.0,0.94824,4.666883230562742,0.189648,0.15,5.006531230562742
ChIJO-XU6vS9cEgRZzA4M89Bi7w,Marmaris Turkish Kitchen,4.8,132.0,0.67778,4.720163177455483,0.135556,0.15,5.005719177455483
ChIJf6E7_Di9cEgRtUXE5FLqDOg,AutoBrew | Bar & Café Digbeth,4.8,124.0,0.6855,4.715876636647724,0.1371,0.15,5.002976636647724
ChIJhTnY6Qi9cEgRpcUcPlTuobw,Sliced N Diced,4.9,131.0,0.96968,4.803625761926352,0.193936,0.0,4.9975617619263515
ChIJNbh_S-y8cEgRImg6q4Bxpzw,24 Carat Bistro,4.7,240.0,0.92268,4.662134410794381,0.184536,0.15,4.996670410794381
ChIJ5Y9pOO28cEgRbLjIawOtCoM,Restaurant Folium,4.8,231.0,0.9668,4.75103757367387,0.19336,0.05,4.99439757367387
ChIJmyCb4fm9cEgRx5iMenTWcA0,Hey Brew Espresso,4.7,211.0,0.93334,4.657481435849622,0.186668,0.15,4.994149435849622
ChIJ-fka-Oa9cEgRdWt7Qps7ImM,OAKBERRY ACAI | Bullring,4.9,85.0,0.87926,4.763323807822825,0.175852,0.05,4.989175807822825
